"","match_id","league","match_date","home_team","home_score","away_team","away_score","avg_odds_home_win","avg_odds_draw","avg_odds_away_win","max_odds_home_win","max_odds_draw","max_odds_away_win","top_bookie_home_win","top_bookie_draw","top_bookie_away_win","n_odds_home_win","n_odds_draw","n_odds_away_win"
"204112",519243,"USA: MLS","2011-05-15","Los Angeles Galaxy",4,"Sporting Kansas City",1,1.5528,3.7216,5.5328,1.69,4.05,6.5,"Pinnacle Sports","Pinnacle Sports","William Hill",25,25,25
"204113",519244,"USA: MLS","2011-05-15","San Jose Earthquakes",3,"Columbus Crew",0,2.3826,3.1811,2.7704,2.58,3.4,2.94,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",27,27,27
"204114",519245,"USA: MLS","2011-05-15","Seattle Sounders",1,"Portland Timbers",1,1.7215,3.4152,4.5837,1.8,3.72,5.91,"Interwetten","Pinnacle Sports","Pinnacle Sports",27,27,27
"204190",519362,"USA: MLS","2011-05-16","New York Red Bulls",2,"Chivas USA",3,1.4567,3.933,6.5378,1.55,4.61,7.8,"Betway","Pinnacle Sports","SBOBET",27,27,27
"205094",520852,"USA: MLS","2011-05-22","Philadelphia Union",2,"Chicago Fire",1,2.2058,3.1238,3.1123,2.42,3.2,3.39,"Pinnacle Sports","188BET","Pinnacle Sports",26,26,26
"205095",520853,"USA: MLS","2011-05-22","Houston Dynamo",2,"New York Red Bulls",2,2.4323,3.1762,2.7031,2.54,3.4,3.04,"Betsson","Pinnacle Sports","Pinnacle Sports",26,26,26
"205096",520854,"USA: MLS","2011-05-22","Chivas USA",0,"Los Angeles Galaxy",1,3.47,3.2415,1.9959,4.12,3.47,2.1,"Pinnacle Sports","Pinnacle Sports","Betsafe",27,27,27
"205097",520855,"USA: MLS","2011-05-22","Seattle Sounders",1,"Sporting Kansas City",0,1.7838,3.3104,4.3154,1.94,3.52,5,"SBOBET","Pinnacle Sports","Ladbrokes",26,26,26
"205098",520856,"USA: MLS","2011-05-22","San Jose Earthquakes",2,"New England Revoluti",1,1.7485,3.3662,4.41,1.83,3.67,5.53,"Ladbrokes","Pinnacle Sports","Pinnacle Sports",26,26,26
"205099",520857,"USA: MLS","2011-05-22","Portland Timbers",1,"Columbus Crew",0,2.17,3.1908,3.1158,2.29,3.38,3.72,"888sport","Pinnacle Sports","Pinnacle Sports",26,26,26
"205142",520916,"USA: MLS","2011-05-23","Colorado Rapids",0,"Toronto FC",0,1.4744,3.8632,6.4556,1.57,4.34,8.63,"Ladbrokes","12BET","Pinnacle Sports",25,25,25
"205143",520917,"USA: MLS","2011-05-23","FC Dallas",0,"Real Salt Lake",0,2.2312,3.1292,3.0662,2.61,3.25,3.35,"Pinnacle Sports","Betway","bwin",26,26,26
"205438",521290,"USA: MLS","2011-05-26","New York Red Bulls",2,"Colorado Rapids",2,1.55,3.6919,5.68,1.65,4.15,7.18,"Expekt","Pinnacle Sports","Pinnacle Sports",26,26,26
"205439",521291,"USA: MLS","2011-05-26","Seattle Sounders",0,"FC Dallas",1,2.0996,3.1882,3.2671,2.2,3.38,3.84,"Interwetten","Pinnacle Sports","Pinnacle Sports",28,28,28
"205440",521292,"USA: MLS","2011-05-26","Los Angeles Galaxy",1,"Houston Dynamo",0,1.5407,3.8064,5.5354,1.67,4.3,6.5,"Coral","Sportingbet","bet365",28,28,28
"205756",521807,"USA: MLS","2011-05-28","Toronto FC",2,"Philadelphia Union",6,2.3179,3.1739,2.8889,2.57,3.42,3.2,"Pinnacle Sports","Pinnacle Sports","William Hill",28,28,28
"205757",521808,"USA: MLS","2011-05-28","Vancouver Whitecaps",1,"New York Red Bulls",1,3.0133,3.1381,2.2541,3.3,3.25,2.5,"bet-at-home","888sport","BetVictor",27,27,27
"206006",522194,"USA: MLS","2011-05-29","Columbus Crew",3,"Chivas USA",3,1.8552,3.2348,4.0974,2.11,3.4,5,"12BET","888sport","Betway",27,27,27
"206007",522195,"USA: MLS","2011-05-29","New England Revoluti",0,"Los Angeles Galaxy",1,3.3159,3.1778,2.0978,3.73,3.33,2.21,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",27,27,27
